iter	MultiClass
0	1.067684594
1	1.043900474
2	1.024680772
3	1.010016624
4	0.9951167368
5	0.9838964171
6	0.9738826779
7	0.965782368
8	0.9586169735
9	0.9525961267
10	0.9471463958
11	0.9427057835
12	0.9389965402
13	0.935423913
14	0.9321026162
15	0.9296947912
16	0.9269975801
17	0.9247115807
18	0.922795589
19	0.9211506185
20	0.919603916
21	0.9183696939
22	0.9170654019
23	0.9158587434
24	0.9145732907
25	0.9135507515
26	0.9126897763
27	0.9118973147
28	0.9111114445
29	0.910648629
30	0.9098684144
31	0.90894211
32	0.9082392811
33	0.9075987892
34	0.9067986189
35	0.9063964309
36	0.9059565143
37	0.9054275102
38	0.9050063139
39	0.904642302
40	0.9041956159
41	0.9038741891
42	0.9034605107
43	0.9032112745
44	0.9029520167
45	0.9025735925
46	0.9022008449
47	0.902054764
48	0.9017720095
49	0.9013758782
50	0.9010543512
51	0.9005148272
52	0.9002186714
53	0.8999413451
54	0.8996075679
55	0.8992518893
56	0.8989435824
57	0.8987412127
58	0.8984604841
59	0.8983668205
60	0.8981044103
61	0.8978715742
62	0.8976333622
63	0.8973981509
64	0.8972101253
65	0.8969616109
66	0.8967523117
67	0.8964219065
68	0.8963337416
69	0.8961053288
70	0.8958670969
71	0.895566064
72	0.8953768096
73	0.8952784392
74	0.8950630559
75	0.8949094645
76	0.8948123475
77	0.8945914663
78	0.8944719062
79	0.894271572
80	0.8941575016
81	0.8940783876
82	0.8939355121
83	0.8937621785
84	0.8936075786
85	0.8935088679
86	0.8933997087
87	0.8931649244
88	0.8930008964
89	0.8928992086
90	0.8926301132
91	0.8924835695
92	0.892377218
93	0.8922341351
94	0.8919190708
95	0.8918119542
96	0.8917321185
97	0.8915051764
98	0.891392632
99	0.8913248801
100	0.8910967325
101	0.8910132395
102	0.8908723819
103	0.8907029714
104	0.8906359722
105	0.8904655898
106	0.8904200854
107	0.890218349
108	0.8899260781
109	0.8897038176
110	0.8895399682
111	0.8894248691
112	0.8893483705
113	0.8892195584
114	0.8890610985
115	0.8888714118
116	0.8887150704
117	0.8885790365
118	0.8883943639
119	0.8882255877
120	0.8881250553
121	0.8879092575
122	0.88771888
123	0.8873894552
124	0.8872982084
125	0.887131765
126	0.8869816805
127	0.886852226
128	0.8867201053
129	0.8864926249
130	0.8864183739
131	0.8863280076
132	0.8862109354
133	0.885968204
134	0.8857690113
135	0.8856100098
136	0.8853511755
137	0.8852357566
138	0.8851135843
139	0.884984349
140	0.8848839401
141	0.8847731319
142	0.8845880392
143	0.8844790921
144	0.8843790354
145	0.8842858233
146	0.8841967027
147	0.8840842267
148	0.8838603842
149	0.883770818
150	0.8836268891
151	0.8835652222
152	0.8834381268
153	0.8832249035
154	0.8830400935
155	0.8829535764
156	0.8828455576
157	0.8827179343
158	0.8825180594
159	0.8823446577
160	0.8821882503
161	0.8820071241
162	0.8818520912
163	0.8817699801
164	0.881645611
165	0.8815004108
166	0.8813570033
167	0.8812445911
168	0.8811027014
169	0.8809809794
170	0.8807912339
171	0.8806234169
172	0.8804819009
173	0.8803532742
174	0.8801824236
175	0.8800878253
176	0.8799016823
177	0.8797363343
178	0.8796171146
179	0.8794780336
180	0.8793527457
181	0.8791898601
182	0.8790091528
183	0.8788863152
184	0.8788183602
185	0.8787673881
186	0.878689917
187	0.8785430207
188	0.8784725
189	0.8783717147
190	0.8783075134
191	0.8781799032
192	0.8780479416
193	0.8779285634
194	0.877804999
195	0.877745481
196	0.8775939459
197	0.877479859
198	0.8774367035
199	0.8773279821
200	0.877196417
201	0.877070296
202	0.8768982998
203	0.8767274088
204	0.8766433109
205	0.8765768361
206	0.8764011594
207	0.8762620008
208	0.8762001601
209	0.8760724928
210	0.8759146466
211	0.8757831672
212	0.8757094731
213	0.8756163934
214	0.8755280392
215	0.8754302432
216	0.8753135589
217	0.8751559514
218	0.8750410184
219	0.8748632968
220	0.8747966148
221	0.8746713392
222	0.8745080468
223	0.874432457
224	0.8742936962
225	0.8741287985
226	0.8740131204
227	0.8739595524
228	0.8738896323
229	0.8738109448
230	0.8737352759
231	0.8735380792
232	0.8734419382
233	0.8733220196
234	0.8731642972
235	0.8730579869
236	0.8729275678
237	0.8728082024
238	0.8727514809
239	0.8726074786
240	0.8725698655
241	0.8724780329
242	0.8722953418
243	0.8720906352
244	0.8719831961
245	0.87185204
246	0.87177125
247	0.8717135463
248	0.8715235633
249	0.8713945893
250	0.8713111272
251	0.8711896203
252	0.8710853656
253	0.8709594987
254	0.8708192945
255	0.8707324521
256	0.8706059486
257	0.8704724125
258	0.8703649863
259	0.8702351876
260	0.8701210143
261	0.8699428841
262	0.8697828537
263	0.8697273268
264	0.8696109704
265	0.8694543806
266	0.8693534074
267	0.8692868839
268	0.8691512822
269	0.8690376174
270	0.8688850773
271	0.868757922
272	0.8685814387
273	0.8684923267
274	0.8683900254
275	0.8683286345
276	0.8682245883
277	0.86812083
278	0.8680288723
279	0.867938809
280	0.8677742023
281	0.8676360223
282	0.8675615829
283	0.8674593613
284	0.8673632717
285	0.8672058043
286	0.8670648759
287	0.8669165315
288	0.8667860302
289	0.8666632091
290	0.8666052802
291	0.8664902349
292	0.8663671275
293	0.8662635306
294	0.8660810227
295	0.8659868361
296	0.86588769
297	0.8657940794
298	0.8657185212
299	0.865564933
300	0.8654370121
301	0.8653083492
302	0.8652352733
303	0.8651047122
304	0.8650187019
305	0.864927823
306	0.8648510714
307	0.8647535371
308	0.8646753661
309	0.8645358339
310	0.864372124
311	0.8641649194
312	0.8641258276
313	0.8640585616
314	0.864000588
315	0.8639212617
316	0.8638391019
317	0.8637156202
318	0.8636286302
319	0.8634854906
320	0.8633928381
321	0.8632835634
322	0.8630804739
323	0.8630074619
324	0.8629006474
325	0.8627516735
326	0.8626323438
327	0.8625273357
328	0.8624723149
329	0.8624168032
330	0.8622274329
331	0.8620811731
332	0.8619819021
333	0.8617700915
334	0.8616602407
335	0.8615542407
336	0.8614941187
337	0.8614136202
338	0.8613303575
339	0.8612098409
340	0.8610674991
341	0.8609336312
342	0.8608452284
343	0.8607792748
344	0.8606762267
345	0.860565956
346	0.8604799576
347	0.8603862684
348	0.8602414467
349	0.8601543058
350	0.8600936547
351	0.8600542558
352	0.8599214306
353	0.8597707512
354	0.8597166434
355	0.8595604974
356	0.8595026485
357	0.8593398022
358	0.8591911961
359	0.8590568066
360	0.8589635833
361	0.8588768241
362	0.858795181
363	0.8586310089
364	0.8585219517
365	0.8583892103
366	0.8582847507
367	0.8581633757
368	0.8580500177
369	0.8578804431
370	0.8577593796
371	0.8576923303
372	0.857625312
373	0.8574473109
374	0.8573846522
375	0.8572974133
376	0.8571941476
377	0.8570216715
378	0.8569317335
379	0.8567992413
380	0.8567462233
381	0.8566683792
382	0.8565085125
383	0.8563979637
384	0.8562828222
385	0.8561529841
386	0.8560765795
387	0.8559644468
388	0.8559194228
389	0.8558180208
390	0.8557648104
391	0.855688357
392	0.8556486906
393	0.8555025151
394	0.8554248527
395	0.8553864042
396	0.8553169668
397	0.8552687805
398	0.855169579
399	0.855097384
400	0.8549811624
401	0.8548652185
402	0.8547560667
403	0.8546988179
404	0.8545828662
405	0.8544170653
406	0.8543333816
407	0.8542804153
408	0.8542365001
409	0.8540924396
410	0.8539392858
411	0.853885609
412	0.8537668575
413	0.8537266476
414	0.8536604978
415	0.8535376535
416	0.8534321554
417	0.8533177293
418	0.8532406127
419	0.8530414699
420	0.8529226472
421	0.8528209783
422	0.8527507778
423	0.8526874803
424	0.8526444563
425	0.8525929857
426	0.8524168792
427	0.85226074
428	0.8521317708
429	0.8520889216
430	0.8519979774
431	0.8519059482
432	0.8518604548
433	0.8517882162
434	0.8516710726
435	0.8516053708
436	0.851557617
437	0.8514617807
438	0.8513230453
439	0.8512723675
440	0.851226355
441	0.8511355163
442	0.8510948035
443	0.8510424656
