iter	Passed	Remaining
0	159	159641
1	170	85147
2	183	61000
3	196	48826
4	209	41787
5	222	36784
6	234	33196
7	246	30617
8	259	28523
9	269	26646
10	278	25066
11	288	23752
12	299	22715
13	309	21799
14	321	21107
15	333	20526
16	345	19969
17	356	19428
18	368	19024
19	381	18690
20	395	18441
21	409	18183
22	420	17879
23	435	17704
24	446	17405
25	456	17111
26	466	16813
27	476	16538
28	485	16262
29	495	16007
30	504	15768
31	513	15541
32	522	15318
33	530	15080
34	538	14842
35	545	14610
36	553	14394
37	560	14196
38	569	14022
39	577	13856
40	586	13707
41	593	13535
42	600	13361
43	608	13214
44	615	13066
45	625	12966
46	632	12827
47	641	12727
48	650	12621
49	660	12541
50	670	12475
51	679	12385
52	690	12329
53	698	12229
54	708	12165
55	718	12109
56	727	12035
57	736	11956
58	745	11892
59	753	11801
60	761	11723
61	769	11641
62	776	11547
63	784	11467
64	792	11402
65	801	11342
66	809	11275
67	818	11212
68	826	11147
69	835	11100
70	845	11059
71	856	11038
72	867	11014
73	876	10964
74	888	10953
75	900	10952
76	911	10928
77	922	10909
78	933	10887
79	944	10856
80	955	10835
81	965	10809
82	975	10775
83	984	10735
84	993	10697
85	1004	10674
86	1014	10644
87	1025	10624
88	1035	10600
89	1044	10560
90	1054	10528
91	1065	10513
92	1075	10492
93	1086	10475
94	1097	10458
95	1110	10457
96	1122	10452
97	1134	10440
98	1145	10421
99	1156	10412
100	1169	10406
101	1179	10379
102	1189	10358
103	1198	10328
104	1209	10310
105	1218	10274
106	1227	10244
107	1238	10232
108	1251	10226
109	1263	10221
110	1272	10195
111	1284	10180
112	1295	10166
113	1302	10123
114	1311	10092
115	1320	10060
116	1327	10019
117	1335	9980
118	1343	9947
119	1352	9917
120	1360	9880
121	1368	9851
122	1378	9826
123	1387	9805
124	1395	9769
125	1405	9749
126	1414	9721
127	1422	9690
128	1431	9666
129	1442	9656
130	1451	9630
131	1460	9605
132	1468	9574
133	1477	9546
134	1487	9528
135	1496	9508
136	1507	9493
137	1518	9482
138	1529	9474
139	1538	9453
140	1549	9439
141	1560	9427
142	1571	9418
143	1582	9405
144	1592	9387
145	1603	9381
146	1614	9368
147	1624	9353
148	1635	9340
149	1644	9317
150	1652	9290
151	1660	9261
152	1669	9242
153	1679	9226
154	1691	9219
155	1702	9211
156	1710	9186
157	1718	9160
158	1725	9127
159	1732	9096
160	1740	9067
161	1747	9041
162	1755	9014
163	1762	8984
164	1769	8955
165	1777	8928
166	1784	8900
167	1791	8873
168	1799	8847
169	1806	8818
170	1813	8792
171	1820	8765
172	1828	8741
173	1836	8718
174	1843	8692
175	1850	8665
176	1858	8641
177	1865	8613
178	1872	8586
179	1879	8561
180	1887	8540
181	1894	8516
182	1902	8493
183	1910	8470
184	1917	8448
185	1924	8423
186	1932	8399
187	1939	8375
188	1946	8351
189	1954	8331
190	1963	8315
191	1972	8302
192	1982	8291
193	1992	8277
194	2000	8257
195	2009	8242
196	2020	8235
197	2029	8220
198	2038	8205
199	2048	8195
200	2059	8185
201	2068	8169
202	2077	8154
203	2088	8147
204	2098	8138
205	2108	8128
206	2118	8117
207	2127	8102
208	2136	8084
209	2144	8066
210	2152	8048
211	2162	8037
212	2171	8025
213	2183	8018
214	2193	8008
215	2204	8001
216	2215	7995
217	2224	7980
218	2233	7966
219	2242	7950
220	2251	7935
221	2261	7924
222	2271	7913
223	2280	7899
224	2289	7887
225	2299	7874
226	2307	7858
227	2316	7844
228	2323	7824
229	2332	7809
230	2341	7794
231	2349	7777
232	2356	7758
233	2367	7748
234	2378	7741
235	2387	7729
236	2398	7721
237	2408	7711
238	2419	7703
239	2429	7692
240	2438	7679
241	2448	7668
242	2456	7653
243	2464	7634
244	2472	7620
245	2480	7602
246	2488	7585
247	2496	7569
248	2504	7553
249	2511	7534
250	2519	7518
251	2527	7503
252	2537	7491
253	2545	7475
254	2554	7463
255	2563	7449
256	2570	7432
257	2578	7416
258	2586	7400
259	2595	7387
260	2604	7375
261	2616	7369
